"Sr No","Customer ID","EC2 Instance ID","EC2 Instance Type","Used From","Used Until"
"1","CUST001","t3-asdg","t3.micro","2021-01-01T00:00:00","2022-01-01T00:00:00"
"2","CUST002","t3-dsfa","t3.small","2021-01-01T00:00:00","2022-01-01T00:00:01"
"3","CUST003","t3-sdfs","t5.huge","2021-01-01T00:00:00","2021-01-01T00:00:00"
"4","CUST004","t3-fadj","t5.large","2021-01-01T00:00:00","2021-05-01T00:00:00"
"5","CUST005","t3-fadf","t5.large","2021-02-01T00:00:00","2021-10-25T00:00:00"
"6","CUST001","t3-adsa","t5.nano","2021-01-01T00:00:00","2021-01-01T00:00:00"
"7","CUST001","t3-adsa","t5.nano","2021-01-01T10:00:00","2021-01-01T11:00:00"
"8","CUST001","t3-fsdx","t5.nano","2021-01-01T10:30:00","2021-01-01T11:30:00"
"9","CUST002","t3-xcvc","t3.small","2021-01-01T15:16:00","2021-01-01T18:23:00"
"10","CUST005","t3-xcvs","t4.macro","2024-12-31T23:59:59","2025-01-01T00:00:01"